,,,,,,,,,
,,,,,,,,,
1. Quelle rue habitez-vous ? ,,4. Si vous deviez donner 2 mots ou expressions pour décrire votre quartier : ,,,6. Quel est votre lieu préféré dans le quartier ? ,,"9. Selon vous, sur quoi faut-il agir en priorité pour le futur quartier ? ","11. Si vous aviez une baguette magqiue, qu'est ce que vous changeriez, ajouteriez ou supprimeriez ? ",
rue Renoir ,,,,,aucun ,,rien ,,
rue ile de France ,,,,,,,arrêter les gens qui vendent de la drogue ,à cause de l'environnement ,
rue de Dijon ,"violences, délinquants ",multitude de couleurs,"Mixité, convivialité et solidarité",danger ,aucun,,,les batiments ,rénovation et réaménagement
rue de Champagne ,incivilité ,bien ,Agréable et joli,ghetto,cassin ,ambiance ,les jeunes voyous ,la violence ,délinquance
rue Auguste Renoir,,bien ,Agréable et joli,bruyant ,la récré (place) ,"monde, divertissement ",propreté ,supprimer les jeunes ,jeunesse
rue ile de France ,,moderne ,Saleté,libre ,parc urbain ,,"ne sait pas, il faut agir sur trop de choses ",,
rue ile de France ,trafic de drogue ,source ,"Mixité, convivialité et solidarité",bien ,ile de France ,c'est là que j'habite ,la proprété des batiments ,qu'ils pleuvent de l'argent et plus de proprété,pauvreté
rue ile de France ,,bien ,Agréable et joli,,aucun ,,rien ,,
rue maligne ,plus de violences mais rénovation des batiments ,Peuplé ,Sécurité,Bruyant ,collège diderot ,c'est l'endroit où je suis le plus ,sur les commerces (boutiques de vêtements),les gens désagréables ,vivre-ensemble
rue des Flandres ,délinquants ,peur ,Sécurité,terrifiant,Mandela ,pleins d'activités ,mettre plus de moyens pour surveiller les jeunes ,supprimer les caves des immeubles (trafics de drogues) ,rénovation et réaménagement
rue Picasso ,moins de monde ,pas si mal ,Agréable et joli,ambiance médiocre ,ile de France ,"commerces, ambiance ",des activités pour sortir les jeunes de la rue ,tous les étrangers qui ont des mauvaises  habitudes ,racisme
rue Piémont ,"violences, délinquance",violent ,Sécurité,,intermarché ,zones de commerces ,améliorer la tranquillité des habitants ,,
place Cassin,la population ,bien ,Agréable et joli,bruyant ,ile de France ,près de chez moi ,"proprété, violence ",la violence ,délinquance
rue ile de France ,"saleté, délinquance, violence ",pourri ,Saleté,plus comme avant ,aucun,,"proprété, sécurité ","délinquance, scooter ",délinquance
rue Fribourg ,,bien ,Agréable et joli,pas l'idéal ,aucun ,je préfère aller en ville ,plus de loisirs ,,
rue de Cologne ,,Indispensable ,Agréable et joli,mal connu ,aucun,,désenclaver planoise ,espaces culturels ,divertissements
rue ile de France ,,,,,aucun ,,les batiments ,,
rue blaise pascal ,,agréable ,Agréable et joli,silencieux ,Malcombe ,"terrains, gymnase ",réhabilitation des batiments et espaces verts ,"sécurité, batiments ",rénovation et réaménagement
rue Franche comté ,,bien ,Agréable et joli,,aucun ,,ne sait pas ,,
,,à raser ,saleté ,,,,,,
,,Agréable,Agréable et joli,,,,,,
,,agréable ,Agréable et joli,,,,,,
,,Aimable,Agréable et joli,,,,,,
,,ambiance médiocre ,Tensions entre les communautés et irrespect,,,,,,
,,Animé,animé,,,,,,
,,animé,animé,,,,,,
,,Animé,animé,,,,,,
,,Arc en ciel ,"Mixité, convivialité et solidarité",,,,,,
,,Bagarres,sécurité,,,,,,
,,Bagarres,sécurité,,,,,,
,,Bien ,Agréable et joli,,,,,,
,,bien ,Agréable et joli,,,,,,
,,Bien ,Agréable et joli,,,,,,
,,bien ,Agréable et joli,,,,,,
,,Bien desservi ,Agréable et joli,,,,,,
,,Bien-être,Agréable et joli,,,,,,
,,bonne ambiance ,"Mixité, convivialité et solidarité",,,,,,
,,Bordel ,sécurité,,,,,,
,,bruit ,bruit,,,,,,
,,bruyant ,bruit,,,,,,
,,bruyant ,bruit,,,,,,
